"term","beta","l.95","h.95","l.89","h.89","l.67","h.67"
"Intercept",17.0366251228248,15.8981157928251,18.175134452625,16.1091117798749,17.964138465797,16.4719417439505,17.6013085016925
"3-clone",-2.51404434526579,-4.20272657940331,-0.825362111424254,-3.88976895541497,-1.13831973508355,-3.35160514928468,-1.67648354125663
"6-clone",-3.46850180081836,-5.15718403495596,-1.7798195669769,-4.84422641096779,-2.09277719063609,-4.30606260483741,-2.63094099680878
"12-clone",-7.17564125909082,-8.86432349322827,-5.48695902524928,-8.55136586924015,-5.79991664890864,-8.01320206310989,-6.3380804550814
"24-clone",-9.09421446681318,-10.7828967009508,-7.40553223297165,-10.4699390769626,-7.71848985663101,-9.93177527083224,-8.25665366280377
"1-clone (ancestral phage)",-0.747814721424361,-1.94189338045231,0.446263937394239,-1.72059892230623,0.224969479480677,-1.34005964560229,-0.155569797253242
"24-clone (ancestral phage)",-11.4940647404874,-13.1827469746249,-9.80538250664584,-12.8697893506368,-10.1183401303051,-12.3316255445065,-10.6565039364779
"1 dpi",0.560817448157369,-0.686357035784393,1.8079919318805,-0.455222512484,1.57685740882315,-0.0577622007578613,1.17939709706569
"2 dpi",-1.24063428651464,-2.48780877045638,0.00654019720855137,-2.25667424715609,-0.224594325848928,-1.85921393542998,-0.622054637606431
"3 dpi",-3.80867565526112,-5.05585013920297,-2.56150117153799,-4.82471561590264,-2.79263569459534,-4.42725530417644,-3.19009600635279
